shop_id,shop_name,group_id
tokyo_ota_kamata_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),g_e22b06fb
tokyo_ota_kamata_koakuma_spa_tokyo,小悪魔スパトウキョウ 蒲田ルーム,g_f4ed1255
tokyo_ota_kamata_nocturne,ノクターンスパ (Nocturne Spa),g_972c27e8
tokyo_ota_kamata_ryugujo,竜宮城 旧百万石 (蒲田店),g_9c2963fd
tokyo_ota_omori_gokujou,GOKUJOU 極嬢,g_80b52827
tokyo_ota_omori_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),g_604f66dc
tokyo_ota_omori_nocturne,ノクターンスパ (Nocturne Spa),g_b3850825
tokyo_ota_omori_rhea,RHEA SPA (レアスパ),g_a678fe5e
tokyo_setagaya_chitose_karasuyama_reve_spa,REVE SPA (レーヴスパ),g_61d339af
tokyo_setagaya_chitose_karasuyama_winning_heaven,WINNING HEAVEN (ウイニングヘブン),g_7bd1840c
tokyo_setagaya_futakotamagawa_mens_esthe_group,メンエスグループ,g_96e73110
tokyo_setagaya_komazawa_daigaku_tokyo_esthe_club,東京えすてクラブ,g_323dbc2c
tokyo_setagaya_kyodo_winning_heaven,WINNING HEAVEN (ウイニングヘブン),g_8e83b438
tokyo_setagaya_meidaimae_annex,明大前ANNEX (アネックス),g_dae00536
tokyo_setagaya_meidaimae_aroma_woo,Aroma Woo (アロマウー),g_53c64b7c
tokyo_setagaya_meidaimae_belle_lily,ベルリリー (Belle Lily),g_1de53c78
tokyo_setagaya_meidaimae_queens_collection,QUEEN'S COLLECTION 明大前ルーム,g_d836bd8b
tokyo_setagaya_meidaimae_reve_spa,REVE SPA (レーヴスパ),g_fb9bb55c
tokyo_setagaya_sangenjaya_authority,AUTHORITY (オーソリティ),g_d2c4304b
tokyo_setagaya_sangenjaya_bqins,B-QINS (ビークインズ),g_365c6b05
